id,name,metropolis,street,houseNumber,postalCode,city,state,country,stationCategory,owner,organisationalUnit,countryCode,latitude,longitude,timeZone
1,Aachen Hbf,{},Bahnhofstr.,2a,52064,Aachen,Nordrhein-Westfalen,DE,CATEGORY_2,DB S&S,RB West,DE,50.7678,6.091499,Europe/Berlin
1000,Burkhardswalde-Maxen,{},Gesundbrunnen,60c,01809,Müglitztal-Burkhardswalde,Sachsen,DE,CATEGORY_7,DB S&S,RB Südost,DE,50.9251456,13.8383692,Europe/Berlin
1001,Burkhardtsdorf,{},Bahnhofstraße,,09235,Burkhardtsdorf,Sachsen,DE,CATEGORY_6,DB Regio-Netze,Erzgebirgsbahn (EGB),DE,,,Europe/Berlin
1002,Bürstadt,{},Bahnhofsallee,17,68642,Bürstadt,Hessen,DE,CATEGORY_6,DB S&S,RB Mitte,DE,49.645769,8.458188,Europe/Berlin
1005,Buschow,{},Bahnhofstr.,28,14715,Märkisch Luch OT Buschow,Brandenburg,DE,CATEGORY_6,DB S&S,RB Ost,DE,52.592203,12.628996,Europe/Berlin
1006,Büsenbachtal,{},Am Büsenbach,16l,21256,Handeloh-Wörme,Niedersachsen,DE,CATEGORY_7,DB S&S,RB Nord,DE,53.269595,9.858592,Europe/Berlin
1008,Büsum,{},Heider Str.,20,25761,Büsum,Schleswig-Holstein,DE,CATEGORY_6,DB S&S,RB Nord,DE,54.133822,8.867113,Europe/Berlin
1009,Buttenheim,{},Am Bahnhof,2,96146,Altendorf,Bayern,DE,CATEGORY_6,DB S&S,RB Süd,DE,49.7993973,11.0137296,Europe/Berlin
1011,Büttgen,{},Driescher Birkhofstraße,1,41564,Kaarst,Nordrhein-Westfalen,DE,CATEGORY_6,DB S&S,RB West,DE,51.197208,6.605785,Europe/Berlin
1012,Buttstädt,{},Am Bahnhof,7,99628,Buttstädt,Thüringen,DE,CATEGORY_7,DB S&S,RB Südost,DE,51.126995,11.418412,Europe/Berlin
1013,Butzbach,{},Bahnhofstr.,8,35510,Butzbach,Hessen,DE,CATEGORY_4,DB S&S,RB Mitte,DE,50.431156,8.669517,Europe/Berlin
1014,Bützow,{},Bahnhofstr.,40,18246,Bützow,Mecklenburg-Vorpommern,DE,CATEGORY_4,DB S&S,RB Ost,DE,53.837114,11.998194,Europe/Berlin
1015,Buxtehude,{},Am Bundesbahnhof,1,21614,Buxtehude,Niedersachsen,DE,CATEGORY_3,DB S&S,RB Nord,DE,53.470491,9.688314,Europe/Berlin
