id,description,operatorname,state,stateExplanation,type
1,zu Gleis 1,DB Station&Service,ACTIVE,available,ELEVATOR
1,zu Gleis 2/3,DB Station&Service,ACTIVE,available,ELEVATOR
1,zu Gleis 6/7,DB Station&Service,ACTIVE,available,ELEVATOR
1,zu Gleis 8/9,DB Station&Service,ACTIVE,available,ELEVATOR
1,,DB Station&Service,INACTIVE,under construction,ELEVATOR
1,,DB Station&Service,INACTIVE,under construction,ELEVATOR
1,,DB Station&Service,INACTIVE,under construction,ELEVATOR
1,,DB Station&Service,INACTIVE,under construction,ELEVATOR
1014,GL.2/3 - UG,DB Station&Service,ACTIVE,available,ELEVATOR
1015,zu Gleis 2/3/4,DB Station&Service,UNKNOWN,monitoring disrupted,ELEVATOR
1015,zu Gleis 1,DB Station&Service,ACTIVE,available,ELEVATOR
1020,zu Gleis 2/3,DB Station&Service,ACTIVE,available,ELEVATOR
1020,zu Gleis 1,DB Station&Service,ACTIVE,available,ELEVATOR
1033,zu Gleis 1,DB Station&Service,ACTIVE,available,ELEVATOR
1033,zu Gleis 2/3,DB Station&Service,ACTIVE,available,ELEVATOR
1036,zu Gl. 4/5,DB Station&Service,ACTIVE,available,ELEVATOR
1036,zu Gleis 6/7,DB Station&Service,ACTIVE,available,ELEVATOR
1036,zu Gleis 2/3,DB Station&Service,ACTIVE,available,ELEVATOR
104,zu Gleis 1/2,DB Station&Service,ACTIVE,available,ELEVATOR
104,von EG zu Tunnel,DB Station&Service,ACTIVE,available,ELEVATOR
104,zu Gleis 3,DB Station&Service,ACTIVE,available,ELEVATOR
1040,Zugang Dresdner Stra�e,Stadt Chemnitz,ACTIVE,available,ELEVATOR
1040,zu Gleis 5,Stadt Chemnitz,ACTIVE,available,ELEVATOR
1040,zu Gleis 11/12,DB Station&Service,INACTIVE,under construction,ELEVATOR
1040,zu Gleis 13/14,DB Station&Service,ACTIVE,available,ELEVATOR
1040,Textilhalle zu PTU,DB Station&Service,ACTIVE,available,ELEVATOR
1042,zum Gleis,DB Station&Service,ACTIVE,available,ELEVATOR
1044,zum Gleis,DB Station&Service,ACTIVE,available,ELEVATOR
1059,Gleis 2/3,DB Station&Service,ACTIVE,available,ELEVATOR
1059,Gleis 4/5,DB Station&Service,ACTIVE,available,ELEVATOR
1059,"Hausbahnsteig, Gleis 1",DB Station&Service,ACTIVE,available,ELEVATOR
1061,BSTG. 1 - GL.1,DB Station&Service,ACTIVE,available,ELEVATOR
1061,BSTG. 2 - GL.2/4,DB Station&Service,ACTIVE,available,ELEVATOR
1061,P&R FLÄCHE (STÄDTISCH),DB Station&Service,ACTIVE,available,ELEVATOR
1062,zu Gleis 7,DB Station&Service,ACTIVE,available,ELEVATOR
1062,zu Gleis 4/5,DB Station&Service,ACTIVE,available,ELEVATOR
1062,zu Gleis 3,DB Station&Service,ACTIVE,available,ELEVATOR
1070,zum Gleis,DB Station&Service,ACTIVE,available,ELEVATOR
1070,zum Gleis,DB Station&Service,ACTIVE,available,ELEVATOR
1071,zu Gleis 7/8,DB Station&Service,ACTIVE,available,ESCALATOR
1071,zu Gleis 7/8,DB Station&Service,ACTIVE,available,ESCALATOR
1071,zu Gleis 7/8,DB Station&Service,ACTIVE,available,ESCALATOR
1071,zu Gleis 7/8,DB Station&Service,ACTIVE,available,ESCALATOR
1071,zu Gleis 7/8,DB Station&Service,ACTIVE,available,ESCALATOR
1071,zu Gleis 7/8,DB Station&Service,ACTIVE,available,ESCALATOR
1071,zu Gleis 5/6,DB Station&Service,ACTIVE,available,ESCALATOR
1071,zu Gleis 5/6,DB Station&Service,ACTIVE,available,ESCALATOR
1071,Nicht Reisendenrelevant,DB Station&Service,ACTIVE,available,ELEVATOR
1071,zu Gleis 3/4,DB Station&Service,ACTIVE,available,ESCALATOR
1071,Nicht Reisendenrelevant,DB Station&Service,ACTIVE,available,ELEVATOR
1071,Gleis 7/8 (C/D) - 1.UG - EG,DB Station&Service,ACTIVE,available,ELEVATOR
1071,Gleis 1/2 (C/D) - 1.UG - EG,DB Station&Service,ACTIVE,available,ELEVATOR
1071,zu Gleis 3/4,DB Station&Service,ACTIVE,available,ESCALATOR
1071,zu Gleis 3/4,DB Station&Service,ACTIVE,available,ESCALATOR
1071,FA 26 Gl. 11/12 West,DB Station&Service,INACTIVE,under maintenance,ELEVATOR
1071,zu Gleis 3/4,DB Station&Service,ACTIVE,available,ESCALATOR
1071,zu Gleis 5/6,DB Station&Service,ACTIVE,available,ESCALATOR
1071,zu Gleis 3/4,DB Station&Service,ACTIVE,available,ESCALATOR
