id,name,availableTransports,transportAssociations,countryCode,state,timeZone,latitude,longitude
1,Aachen Hbf,"['INTERCITY_TRAIN', 'REGIONAL_TRAIN', 'BUS', 'HIGH_SPEED_TRAIN', 'CITY_TRAIN', 'INTER_REGIONAL_TRAIN']","['AAV', 'VRS']",DE,NW,Europe/Berlin,50.7678,6.091499
1000,Burkhardswalde-Maxen,['REGIONAL_TRAIN'],['VVO'],DE,SN,Europe/Berlin,50.9251456,13.8383692
1001,Burkhardtsdorf,"['REGIONAL_TRAIN', 'BUS']",['VMS'],DE,SN,Europe/Berlin,50.733196,12.932137
1002,Bürstadt,['REGIONAL_TRAIN'],['VRN'],DE,HE,Europe/Berlin,49.645769,8.458188
1005,Buschow,['REGIONAL_TRAIN'],['VBB'],DE,BB,Europe/Berlin,52.592203,12.628996
1006,Büsenbachtal,['REGIONAL_TRAIN'],"['IAM', 'HVV']",DE,NI,Europe/Berlin,53.269595,9.858592
1008,Büsum,['REGIONAL_TRAIN'],['SH'],DE,SH,Europe/Berlin,54.133822,8.867113
1009,Buttenheim,"['REGIONAL_TRAIN', 'CITY_TRAIN']",['VGN'],DE,BY,Europe/Berlin,49.7993973,11.0137296
1011,Büttgen,"['REGIONAL_TRAIN', 'BUS', 'CITY_TRAIN']","['VRS', 'VRR']",DE,NW,Europe/Berlin,51.197208,6.605785
1012,Buttstädt,['REGIONAL_TRAIN'],"['NASA', 'VMT']",DE,TH,Europe/Berlin,51.126995,11.418412
1013,Butzbach,['REGIONAL_TRAIN'],['RMV'],DE,HE,Europe/Berlin,50.431156,8.669517
1014,Bützow,"['INTERCITY_TRAIN', 'REGIONAL_TRAIN', 'BUS', 'HIGH_SPEED_TRAIN']",['VVW'],DE,MV,Europe/Berlin,53.837114,11.998194
1015,Buxtehude,"['REGIONAL_TRAIN', 'BUS', 'CITY_TRAIN']","['IAM', 'HVV']",DE,NI,Europe/Berlin,53.470491,9.688314
1016,Cadenberge,"['REGIONAL_TRAIN', 'BUS']",['IAM'],DE,NI,Europe/Berlin,53.768071,9.058163
1017,Cadolzburg,"['REGIONAL_TRAIN', 'BUS']",['VGN'],DE,BY,Europe/Berlin,49.460649,10.863611
1018,Cainsdorf,['REGIONAL_TRAIN'],['VMS'],DE,SN,Europe/Berlin,50.686559,12.496565
1019,Calau(Nl),"['REGIONAL_TRAIN', 'BUS']",['VBB'],DE,BB,Europe/Berlin,51.738118,13.97982
102,Altenhasungen,"['REGIONAL_TRAIN', 'CITY_TRAIN']",['NVV'],DE,HE,Europe/Berlin,51.34354,9.225737
1020,Calbe(Saale) Ost,"['REGIONAL_TRAIN', 'BUS']","['NASA', 'MAR']",DE,ST,Europe/Berlin,51.920693,11.810527
1021,Calbe(Saale) West,['REGIONAL_TRAIN'],"['NASA', 'MAR']",DE,ST,Europe/Berlin,51.905693,11.758783
1022,Calberlah,['REGIONAL_TRAIN'],"['IAM', 'VRB']",DE,NI,Europe/Berlin,52.427559,10.624914
1023,Caldern,"['REGIONAL_TRAIN', 'BUS']",['RMV'],DE,HE,Europe/Berlin,50.85297,8.670244
1025,Calw,['REGIONAL_TRAIN'],['VGC'],DE,BW,Europe/Berlin,48.714682,8.741854
1026,Camburg(Saale),"['REGIONAL_TRAIN', 'BUS']",['VMT'],DE,TH,Europe/Berlin,51.050857,11.70468
1027,Cammin(Meckl),['REGIONAL_TRAIN'],[],DE,MV,Europe/Berlin,53.439035,13.299645
1028,Capelle(Westf),['REGIONAL_TRAIN'],['WT'],DE,NW,Europe/Berlin,51.735268,7.61108
1029,Caputh-Geltow,"['REGIONAL_TRAIN', 'BUS']",['VBB'],DE,BB,Europe/Berlin,52.350295,12.984406
1032,Casekow,['BUS'],['VBB'],DE,BB,Europe/Berlin,53.213614,14.208187
1033,Castrop-Rauxel Hbf,"['REGIONAL_TRAIN', 'CITY_TRAIN']",['VRR'],DE,NW,Europe/Berlin,51.573526,7.30398
1034,Castrop-Rauxel Süd,['REGIONAL_TRAIN'],['VRR'],DE,NW,Europe/Berlin,51.5503,7.310186
1035,Castrop-Rauxel-Merklinde,['REGIONAL_TRAIN'],['VRR'],DE,NW,Europe/Berlin,51.527932,7.324314
1036,Celle,"['INTERCITY_TRAIN', 'REGIONAL_TRAIN', 'HIGH_SPEED_TRAIN', 'CITY_TRAIN']",['IAM'],DE,NI,Europe/Berlin,52.6204548,10.062468
1037,Cham(Oberpf),"['REGIONAL_TRAIN', 'BUS']",[],DE,BY,Europe/Berlin,49.221869,12.656832
1038,Chamerau,"['REGIONAL_TRAIN', 'BUS']",[],DE,BY,Europe/Berlin,49.196718,12.745258
104,Lennestadt-Altenhundem,"['INTERCITY_TRAIN', 'REGIONAL_TRAIN', 'BUS']",['WT'],DE,NW,Europe/Berlin,51.104132,8.071517
1040,Chemnitz Hbf (Bahnhofstraße),"['REGIONAL_TRAIN', 'BUS']",['VMS'],DE,SN,Europe/Berlin,50.838222,12.929189
1040,Chemnitz Hbf,"['INTERCITY_TRAIN', 'REGIONAL_TRAIN', 'BUS']",['VMS'],DE,SN,Europe/Berlin,50.839696,12.930877
1041,Chemnitz Kinderwaldstätte,['REGIONAL_TRAIN'],['VMS'],DE,SN,Europe/Berlin,50.884211,12.953568
1042,Chemnitz Mitte,['REGIONAL_TRAIN'],['VMS'],DE,SN,Europe/Berlin,50.826628,12.912587
1044,Chemnitz Süd,['REGIONAL_TRAIN'],['VMS'],DE,SN,Europe/Berlin,50.8237663,12.9261875
1046,Chemnitz-Borna Hp,['REGIONAL_TRAIN'],['VMS'],DE,SN,Europe/Berlin,50.859867,12.894459
1047,Chemnitz Erfenschlag,['REGIONAL_TRAIN'],['VMS'],DE,SN,Europe/Berlin,50.787603,12.950184
105,Altenkirchen(Westerwald),"['REGIONAL_TRAIN', 'BUS']","['VRM', 'VRS']",DE,RP,Europe/Berlin,50.684418,7.638257
1050,Chemnitz-Hilbersdorf,['REGIONAL_TRAIN'],['VMS'],DE,SN,Europe/Berlin,50.861934,12.953879
1051,Chemnitz-Reichenhain,"['REGIONAL_TRAIN', 'BUS']",['VMS'],DE,SN,Europe/Berlin,50.795077,12.935877
1052,Chemnitz-Schönau,['REGIONAL_TRAIN'],['VMS'],DE,SN,Europe/Berlin,50.818095,12.8765
1053,Chemnitz-Siegmar,"['REGIONAL_TRAIN', 'BUS']",['VMS'],DE,SN,Europe/Berlin,50.815561,12.84251
1055,Chorin,['REGIONAL_TRAIN'],['VBB'],DE,BB,Europe/Berlin,52.90354,13.869714
1056,Clarholz,"['REGIONAL_TRAIN', 'BUS']",['WT'],DE,NW,Europe/Berlin,51.898454,8.200835
